text
"Worker fell from scaffolding while welding, resulting in burns. Jordan Murray from the Facilities department was involved. Burn from hot welding equipment On 22 November 2024 at 05:05, an incident occurred at Fleet Garage. The incident was reported by Spencer Lee."
"The incident was reported by Skyler Bennett. Heat exhaustion from prolonged outdoor work Cameron Hughes from the Health & Safety department was involved. grinder malfunction caused a fuel leak, injuring the operator. On 25 May 2024 at 03:31, an incident occurred at Reception Area."
"On 28 April 2025 at 20:17, an incident occurred at Training Room. Worker fell from ship deck while welding, resulting in a fractured leg. The incident was reported by Cameron Mitchell. Emerson Lewis from the Customer Service department was involved. Crush injury to hand from hydraulic press"
"Sydney Brown from the Finance department was involved. On 11 June 2024 at 19:11, an incident occurred at Dockyard South. Puncture wound from misplaced tool The incident was reported by Alex Cooper. Exposure to high-voltage wiring led to burns."
"Back strain from improper lifting Chris Mitchell from the Logistics department was involved. The incident was reported by Sawyer Ward. Exposure to toxic fumes led to burns. On 30 May 2025 at 20:57, an incident occurred at Fuel Depot."
"Cameron Lewis from the HR department was involved. On 04 December 2024 at 17:21, an incident occurred at Shipyard Pier. The incident was reported by Kai Brown. Puncture wound from misplaced tool forklift malfunction caused electrical fire, injuring a contractor."
"Hearing damage from loud machinery Exposure to toxic fumes led to a fractured leg. Frankie Cooper from the Dockyard Operations department was involved. The incident was reported by Casey Parker. On 30 March 2024 at 15:09, an incident occurred at Engineering Workshop."
"Fractured wrist from fall on wet surface Worker fell from ship deck while painting, resulting in a fractured leg. The incident was reported by Rowan Hughes. Logan Bailey from the Warehouse department was involved. On 24 February 2025 at 01:55, an incident occurred at Maintenance Shed."
"Eye irritation from chemical fumes On 27 December 2024 at 00:35, an incident occurred at Fuel Depot. Reese Reed from the Fleet Management department was involved. Exposure to toxic fumes led to a fractured leg. The incident was reported by Peyton Hughes."
"On 27 August 2024 at 12:31, an incident occurred at Dry Dock 2. The incident was reported by Cameron Lee. Eye irritation from chemical fumes Worker fell from ship deck while painting, resulting in concussion. Chris Johnson from the Legal department was involved."
"On 24 October 2024 at 05:02, an incident occurred at Office - Admin Block. The incident was reported by Jordan Lee. Heat exhaustion from prolonged outdoor work crane malfunction caused electrical fire, injuring a contractor. Avery Fisher from the Quality Assurance department was involved."
"Burn from hot welding equipment On 22 November 2024 at 12:10, an incident occurred at Reception Area. crane malfunction caused a fuel leak, injuring the operator. The incident was reported by Sawyer Walker. Charlie Hughes from the IT department was involved."
"Worker fell from scaffolding while welding, resulting in burns. The incident was reported by Avery Robinson. On 07 January 2024 at 13:32, an incident occurred at Maintenance Shed. Frankie West from the Operations department was involved. Puncture wound from misplaced tool"
"Worker fell from ship deck while painting, resulting in burns. Finley Murray from the Research & Development department was involved. On 15 July 2025 at 01:23, an incident occurred at Fuel Depot. The incident was reported by Emerson Ward. Puncture wound from misplaced tool"
"Worker fell from scaffolding while welding, resulting in burns. On 20 April 2025 at 22:39, an incident occurred at Reception Area. Dislocated shoulder during equipment maintenance The incident was reported by Taylor Murphy. Reese Allen from the Communications department was involved."
"Kai Clark from the Quality Assurance department was involved. grinder malfunction caused electrical fire, injuring a contractor. The incident was reported by Dakota West. Compressed air injury during maintenance On 03 April 2024 at 21:21, an incident occurred at Reception Area."
"On 28 August 2025 at 21:04, an incident occurred at IT Server Room. Exposure to toxic fumes led to burns. Reese Hughes from the Research & Development department was involved. Severe abrasion from slip on deck The incident was reported by Dakota Walker."
"Sydney Bennett from the Health & Safety department was involved. The incident was reported by Sawyer Payne. On 12 March 2024 at 18:29, an incident occurred at Cafeteria. Exposure to asbestos led to concussion. Minor cuts and bruises"
"Back strain from improper lifting The incident was reported by Jamie Brown. Exposure to asbestos led to concussion. On 25 August 2025 at 17:46, an incident occurred at Maintenance Shed. Jamie Clark from the Security department was involved."
"Back strain from improper lifting Skyler West from the Health & Safety department was involved. On 20 February 2024 at 04:56, an incident occurred at Tool Crib. The incident was reported by Reese Johnson. Exposure to toxic fumes led to concussion."
"On 28 June 2025 at 08:46, an incident occurred at Dry Dock 2. The incident was reported by Frankie Morgan. Rowan Bennett from the Legal department was involved. Exposure to asbestos led to a fractured leg. Trip hazard fall resulting in bruising"
"Kai Brown from the Procurement department was involved. Dislocated shoulder during equipment maintenance Exposure to asbestos led to concussion. On 17 April 2025 at 17:11, an incident occurred at IT Server Room. The incident was reported by Charlie Bennett."
"Peyton Johnson from the Customer Service department was involved. Fractured wrist from fall on wet surface On 12 June 2024 at 02:43, an incident occurred at Dry Dock 2. crane malfunction caused electrical fire, injuring a contractor. The incident was reported by Jamie Davis."
"The incident was reported by Sawyer Reed. Eye irritation from chemical fumes crane malfunction caused a fuel leak, injuring the operator. On 21 February 2025 at 01:40, an incident occurred at Tool Crib. Charlie Pearson from the Customer Service department was involved."
"Fractured wrist from fall on wet surface On 29 March 2024 at 10:21, an incident occurred at Dry Dock 2. Jordan Payne from the Operations department was involved. The incident was reported by Morgan Pearson. grinder malfunction caused electrical fire, injuring two workers."
"On 25 February 2024 at 18:20, an incident occurred at Training Room. Fractured ankle due to fall from scaffolding The incident was reported by Kai Fisher. Jordan Parker from the IT department was involved. Exposure to toxic fumes led to burns."
"The incident was reported by Sawyer Bailey. grinder malfunction caused electrical fire, injuring two workers. Reese Clark from the Quality Assurance department was involved. On 05 January 2025 at 08:58, an incident occurred at Tool Crib. Smoke inhalation from fire in electrical bay"
"Electric shock from faulty wiring On 13 April 2025 at 10:39, an incident occurred at Tool Crib. The incident was reported by Taylor Hughes. Charlie Morgan from the Dockyard Operations department was involved. crane malfunction caused electrical fire, injuring a contractor."
"Exposure to toxic fumes led to burns. Fractured ankle due to fall from scaffolding The incident was reported by Charlie Bailey. Jamie Murray from the Legal department was involved. On 02 March 2024 at 14:24, an incident occurred at Tool Crib."
